input_html,quantity,unit,name,normalized_name
"<li class=""wprm-recipe-ingredient"" data-uid=""17"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 tablespoon ginger peeled and minced (about an inch knob)"" class=""wprm-checkbox"" id=""wprm-checkbox-14"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-14""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">tablespoon</span> <span class=""wprm-recipe-ingredient-name"">ginger</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">peeled and minced (about an inch knob)</span></li>",1.0,tablespoon,ginger,ginger
"<li class=""wprm-recipe-ingredient"" data-uid=""18"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" oil as needed for stir frying"" class=""wprm-checkbox"" id=""wprm-checkbox-15"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-15""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name"">oil</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">as needed for stir frying</span></li>",,,oil,oil
"<li class=""wprm-recipe-ingredient"" data-uid=""19"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" Toasted sesame seed (optional for garnish)"" class=""wprm-checkbox"" id=""wprm-checkbox-16"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-16""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3ehbMRy"" rel=""nofollow noreferrer"" target=""_blank"">Toasted sesame seed</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">(optional for garnish)</span></li>",,,Toasted sesame seed,toasted sesame seed
"<li class=""wprm-recipe-ingredient"" data-uid=""0"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 pound ground beef"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">pound</span> <span class=""wprm-recipe-ingredient-name"">ground beef</span></li>",1.0,pound,ground beef,beef
"<li class=""wprm-recipe-ingredient"" data-uid=""2"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ¾ cup bulgogi marinade divided (sometimes called KBBQ marinade)"" class=""wprm-checkbox"" id=""wprm-checkbox-1"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-1""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">¾</span> <span class=""wprm-recipe-ingredient-unit"">cup</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3xWoXDn"" rel=""nofollow noreferrer"" target=""_blank"">bulgogi marinade</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">divided (sometimes called KBBQ marinade)</span></li>",0.75,cup,bulgogi marinade,bulgogi marinade
"<li class=""wprm-recipe-ingredient"" data-uid=""1"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ½ cup yellow onion finely chopped (about ¼ of a large onion)"" class=""wprm-checkbox"" id=""wprm-checkbox-2"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-2""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">½</span> <span class=""wprm-recipe-ingredient-unit"">cup</span> <span class=""wprm-recipe-ingredient-name"">yellow onion</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">finely chopped (about ¼ of a large onion)</span></li>",0.5,cup,yellow onion,onion
"<li class=""wprm-recipe-ingredient"" data-uid=""4"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ¼ cup breadcrumb"" class=""wprm-checkbox"" id=""wprm-checkbox-3"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-3""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">¼</span> <span class=""wprm-recipe-ingredient-unit"">cup</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/4hS0Avx"" rel=""nofollow noreferrer"" target=""_blank"">breadcrumb</a></span></li>",0.25,cup,breadcrumb,breadcrumb
"<li class=""wprm-recipe-ingredient"" data-uid=""3"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 stalk green onion thinly sliced (plus more for garnish)"" class=""wprm-checkbox"" id=""wprm-checkbox-4"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-4""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">stalk</span> <span class=""wprm-recipe-ingredient-name"">green onion</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">thinly sliced (plus more for garnish)</span></li>",1.0,stalk,green onion,green onion
"<li class=""wprm-recipe-ingredient"" data-uid=""5"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ¼ teaspooon cracked black pepper"" class=""wprm-checkbox"" id=""wprm-checkbox-5"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-5""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">¼</span> <span class=""wprm-recipe-ingredient-unit"">teaspooon</span> <span class=""wprm-recipe-ingredient-name"">cracked black pepper</span></li>",0.25,teaspooon,cracked black pepper,cracked pepper
"<li class=""wprm-recipe-ingredient"" data-uid=""6"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" Toasted sesame seed optional for garnish"" class=""wprm-checkbox"" id=""wprm-checkbox-6"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-6""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3ehbMRy"" rel=""nofollow noreferrer"" target=""_blank"">Toasted sesame seed</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">optional for garnish</span></li>",,,Toasted sesame seed,toasted sesame seed
"<li class=""wprm-recipe-ingredient"" data-uid=""8"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 pound thinly sliced beef ribeye"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">pound</span> <span class=""wprm-recipe-ingredient-name"">thinly sliced beef ribeye</span></li>",1.0,pound,thinly sliced beef ribeye,thinly sliced beef ribeye
"<li class=""wprm-recipe-ingredient"" data-uid=""9"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ½ small yellow onion thinly sliced"" class=""wprm-checkbox"" id=""wprm-checkbox-1"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-1""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">½</span> <span class=""wprm-recipe-ingredient-unit"">small</span> <span class=""wprm-recipe-ingredient-name"">yellow onion</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">thinly sliced</span></li>",0.5,small,yellow onion,onion
"<li class=""wprm-recipe-ingredient"" data-uid=""12"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 2 stalks green onion cut into 1 inch pieces (plus more sliced for garnish)"" class=""wprm-checkbox"" id=""wprm-checkbox-2"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-2""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">2</span> <span class=""wprm-recipe-ingredient-unit"">stalks</span> <span class=""wprm-recipe-ingredient-name"">green onion</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">cut into 1 inch pieces (plus more sliced for garnish)</span></li>",2.0,stalks,green onion,green onion
"<li class=""wprm-recipe-ingredient"" data-uid=""13"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" Oil as needed for cooking (any neutral oil will do)"" class=""wprm-checkbox"" id=""wprm-checkbox-3"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-3""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-name"">Oil</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">as needed for cooking (any neutral oil will do)</span></li>",,,Oil,oil
"<li class=""wprm-recipe-ingredient"" data-uid=""14"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ½ small yellow onion cut into smaller chunks"" class=""wprm-checkbox"" id=""wprm-checkbox-4"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-4""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">½</span> <span class=""wprm-recipe-ingredient-unit"">small</span> <span class=""wprm-recipe-ingredient-name"">yellow onion</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">cut into smaller chunks</span></li>",0.5,small,yellow onion,onion
"<li class=""wprm-recipe-ingredient"" data-uid=""2"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ¼  Korean pear peeled, core removed, and cut into smaller chunks *see notes"" class=""wprm-checkbox"" id=""wprm-checkbox-5"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-5""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">¼</span> <span class=""wprm-recipe-ingredient-unit""></span> <span class=""wprm-recipe-ingredient-name"">Korean pear</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">peeled, core removed, and cut into smaller chunks <em>*see notes</em></span></li>",0.25,,Korean pear,korean pear
"<li class=""wprm-recipe-ingredient"" data-uid=""0"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 3 tablespoons regular soy sauce"" class=""wprm-checkbox"" id=""wprm-checkbox-6"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-6""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">3</span> <span class=""wprm-recipe-ingredient-unit"">tablespoons</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/4aG8YfV"" rel=""nofollow noreferrer"" target=""_blank"">regular soy sauce</a></span></li>",3.0,tablespoons,regular soy sauce,soy sauce
"<li class=""wprm-recipe-ingredient"" data-uid=""3"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 3 tablespoons brown sugar packed"" class=""wprm-checkbox"" id=""wprm-checkbox-7"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-7""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">3</span> <span class=""wprm-recipe-ingredient-unit"">tablespoons</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3fo9Ut0"" rel=""nofollow noreferrer"" target=""_blank"">brown sugar</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">packed</span></li>",3.0,tablespoons,brown sugar,brown sugar
"<li class=""wprm-recipe-ingredient"" data-uid=""4"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 tablespoon toasted sesame oil"" class=""wprm-checkbox"" id=""wprm-checkbox-8"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-8""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">tablespoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/2TeNpL8"" rel=""nofollow noreferrer"" target=""_blank"">toasted sesame oil</a></span></li>",1.0,tablespoon,toasted sesame oil,toasted sesame oil
"<li class=""wprm-recipe-ingredient"" data-uid=""5"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 2 cloves garlic"" class=""wprm-checkbox"" id=""wprm-checkbox-9"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-9""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">2</span> <span class=""wprm-recipe-ingredient-unit"">cloves</span> <span class=""wprm-recipe-ingredient-name"">garlic</span></li>",2.0,cloves,garlic,garlic
"<li class=""wprm-recipe-ingredient"" data-uid=""10"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ½ inch ginger peeled and cut into smaller pieces"" class=""wprm-checkbox"" id=""wprm-checkbox-10"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-10""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">½</span> <span class=""wprm-recipe-ingredient-unit"">inch</span> <span class=""wprm-recipe-ingredient-name"">ginger</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">peeled and cut into smaller pieces</span></li>",0.5,inch,ginger,ginger
"<li class=""wprm-recipe-ingredient"" data-uid=""6"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ¼ teaspoon black pepper"" class=""wprm-checkbox"" id=""wprm-checkbox-11"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-11""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">¼</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name"">black pepper</span></li>",0.25,teaspoon,black pepper,pepper
"<li class=""wprm-recipe-ingredient"" data-uid=""0"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 3 pounds beef tenderloin center cut trimmed and silverskin removed"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">3</span> <span class=""wprm-recipe-ingredient-unit"">pounds</span> <span class=""wprm-recipe-ingredient-name"">beef tenderloin center cut</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">trimmed and silverskin removed</span></li>",3.0,pounds,beef tenderloin center cut,beef tenderloin center
"<li class=""wprm-recipe-ingredient"" data-uid=""2"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 2 tablespoons dijon mustard or yellow mustard"" class=""wprm-checkbox"" id=""wprm-checkbox-1"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-1""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">2</span> <span class=""wprm-recipe-ingredient-unit"">tablespoons</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3Dt5JuC"" rel=""nofollow noreferrer"" target=""_blank"">dijon mustard</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">or yellow mustard</span></li>",2.0,tablespoons,dijon mustard,dijon mustard
"<li class=""wprm-recipe-ingredient"" data-uid=""3"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 tablespoon Kosher salt or as needed for seasoning"" class=""wprm-checkbox"" id=""wprm-checkbox-2"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-2""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">tablespoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3cjL1LU"" rel=""nofollow noreferrer"" target=""_blank"">Kosher salt</a></span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">or as needed for seasoning</span></li>",1.0,tablespoon,Kosher salt,salt
"<li class=""wprm-recipe-ingredient"" data-uid=""4"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 tablespoon oil"" class=""wprm-checkbox"" id=""wprm-checkbox-3"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-3""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">tablespoon</span> <span class=""wprm-recipe-ingredient-name"">oil</span></li>",1.0,tablespoon,oil,oil
"<li class=""wprm-recipe-ingredient"" data-uid=""6"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 48 ounces baby portobello mushrooms"" class=""wprm-checkbox"" id=""wprm-checkbox-4"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-4""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">48</span> <span class=""wprm-recipe-ingredient-unit"">ounces</span> <span class=""wprm-recipe-ingredient-name"">baby portobello mushrooms</span></li>",48.0,ounces,baby portobello mushrooms,baby portobello mushrooms
"<li class=""wprm-recipe-ingredient"" data-uid=""7"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 7 ounces shallot finely chopped (about 3 large shallots per 7oz)"" class=""wprm-checkbox"" id=""wprm-checkbox-5"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-5""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">7</span> <span class=""wprm-recipe-ingredient-unit"">ounces</span> <span class=""wprm-recipe-ingredient-name"">shallot</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">finely chopped (about 3 large shallots per 7oz)</span></li>",7.0,ounces,shallot,shallot
"<li class=""wprm-recipe-ingredient"" data-uid=""9"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 teaspoon fresh thyme leaves"" class=""wprm-checkbox"" id=""wprm-checkbox-6"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-6""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name"">fresh thyme leaves</span></li>",1.0,teaspoon,fresh thyme leaves,thyme leaves
"<li class=""wprm-recipe-ingredient"" data-uid=""8"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ½ teaspoon Kosher salt"" class=""wprm-checkbox"" id=""wprm-checkbox-7"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-7""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">½</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/3cjL1LU"" rel=""nofollow noreferrer"" target=""_blank"">Kosher salt</a></span></li>",0.5,teaspoon,Kosher salt,salt
"<li class=""wprm-recipe-ingredient"" data-uid=""10"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" ¼ teaspoon cracked black pepper"" class=""wprm-checkbox"" id=""wprm-checkbox-8"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-8""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">¼</span> <span class=""wprm-recipe-ingredient-unit"">teaspoon</span> <span class=""wprm-recipe-ingredient-name"">cracked black pepper</span></li>",0.25,teaspoon,cracked black pepper,cracked pepper
"<li class=""wprm-recipe-ingredient"" data-uid=""11"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 4 tablespoons unsalted butter"" class=""wprm-checkbox"" id=""wprm-checkbox-9"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-9""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">4</span> <span class=""wprm-recipe-ingredient-unit"">tablespoons</span> <span class=""wprm-recipe-ingredient-name"">unsalted butter</span></li>",4.0,tablespoons,unsalted butter,unsalted butter
"<li class=""wprm-recipe-ingredient"" data-uid=""13"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 box puff pastry sheets defrosted (17.3oz/490g per box)"" class=""wprm-checkbox"" id=""wprm-checkbox-10"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-10""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">box</span> <span class=""wprm-recipe-ingredient-name"">puff pastry sheets</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">defrosted (17.3oz/490g per box)</span></li>",1.0,box,puff pastry sheets,puff pastry sheets
"<li class=""wprm-recipe-ingredient"" data-uid=""14"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 2 large egg yolk"" class=""wprm-checkbox"" id=""wprm-checkbox-11"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-11""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">2</span> <span class=""wprm-recipe-ingredient-unit"">large</span> <span class=""wprm-recipe-ingredient-name"">egg yolk</span></li>",2.0,large,egg yolk,egg yolk
"<li class=""wprm-recipe-ingredient"" data-uid=""15"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 tablespoon milk or water"" class=""wprm-checkbox"" id=""wprm-checkbox-12"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-12""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">tablespoon</span> <span class=""wprm-recipe-ingredient-name"">milk</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">or water</span></li>",1.0,tablespoon,milk,milk
"<li class=""wprm-recipe-ingredient"" data-uid=""17"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 2 bunches spinach stems cut and discard *see notes"" class=""wprm-checkbox"" id=""wprm-checkbox-13"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-13""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">2</span> <span class=""wprm-recipe-ingredient-unit"">bunches</span> <span class=""wprm-recipe-ingredient-name"">spinach</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">stems cut and discard<em> *see notes</em></span></li>",2.0,bunches,spinach,spinach
"<li class=""wprm-recipe-ingredient"" data-uid=""18"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 6 ounces sliced prosciutto or parma ham"" class=""wprm-checkbox"" id=""wprm-checkbox-14"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-14""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">6</span> <span class=""wprm-recipe-ingredient-unit"">ounces</span> <span class=""wprm-recipe-ingredient-name"">sliced prosciutto</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">or parma ham</span></li>",6.0,ounces,sliced prosciutto,sliced prosciutto
"<li class=""wprm-recipe-ingredient"" data-uid=""0"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 pound beef flank steak thinly sliced (between ⅛ and ¼ inch thick)"" class=""wprm-checkbox"" id=""wprm-checkbox-0"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-0""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">pound</span> <span class=""wprm-recipe-ingredient-name"">beef flank steak</span> <span class=""wprm-recipe-ingredient-notes wprm-recipe-ingredient-notes-smaller-faded"">thinly sliced (between ⅛ and ¼ inch thick)</span></li>",1.0,pound,beef flank steak,beef flank steak
"<li class=""wprm-recipe-ingredient"" data-uid=""1"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 3 tablespoons water"" class=""wprm-checkbox"" id=""wprm-checkbox-1"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-1""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">3</span> <span class=""wprm-recipe-ingredient-unit"">tablespoons</span> <span class=""wprm-recipe-ingredient-name"">water</span></li>",3.0,tablespoons,water,water
"<li class=""wprm-recipe-ingredient"" data-uid=""2"" style=""list-style-type: none;""><span class=""wprm-checkbox-container""><input aria-label="" 1 tablespoons Shaoxing rice wine"" class=""wprm-checkbox"" id=""wprm-checkbox-2"" type=""checkbox""/><label class=""wprm-checkbox-label"" for=""wprm-checkbox-2""><span class=""sr-only screen-reader-text wprm-screen-reader-text"">▢ </span></label></span><span class=""wprm-recipe-ingredient-amount"">1</span> <span class=""wprm-recipe-ingredient-unit"">tablespoons</span> <span class=""wprm-recipe-ingredient-name""><a class=""wprm-recipe-ingredient-link"" href=""https://amzn.to/4hZSKku"" rel=""nofollow noreferrer"" target=""_blank"">Shaoxing rice wine</a></span></li>",1.0,tablespoons,Shaoxing rice wine,shaoxing rice wine
